,weight,age,height
23826,50,30.0,162.56
92203,72,26.0,167.64
62780,61,45.0,165.1
114377,63,26.0,177.8
72979,79,36.0,175.26
104401,58,31.0,165.1
87065,54,27.0,157.48
66823,77,27.0,182.88
24602,68,33.0,162.56
97651,62,59.0,170.18
110050,86,40.0,172.72
58277,56,31.0,170.18
29388,61,60.0,177.8
66612,54,22.0,157.48
31700,65,41.0,170.18
14544,54,30.0,160.02
64800,75,64.0,172.72
60012,61,38.0,175.26
90972,54,37.0,170.18
63404,65,26.0,154.94
96604,56,54.0,154.94
78308,72,41.0,157.48
71797,68,21.0,170.18
98025,74,31.0,170.18
78001,54,30.0,170.18
116595,58,24.0,165.1
28832,62,29.0,157.48
27295,104,28.0,170.18
84361,58,57.0,172.72
81874,74,30.0,175.26
46247,56,28.0,170.18
38440,45,29.0,154.94
83442,79,55.0,177.8
3421,63,36.0,175.26
73461,77,27.0,170.18
27678,72,31.0,162.56
101296,56,29.0,172.72
68214,54,20.0,152.4
1711,72,37.0,165.1
79693,61,30.0,162.56
34715,86,30.0,175.26
23759,54,38.0,172.72
95628,61,33.0,167.64
45191,61,35.0,165.1
3610,57,26.0,162.56
62704,65,30.0,160.02
117761,73,37.0,175.26
80325,62,27.0,154.94
80639,58,39.0,170.18
5790,61,37.0,172.72
54460,54,32.0,165.1
91463,50,32.0,162.56
91844,61,29.0,162.56
49514,79,36.0,172.72
11533,63,27.0,160.02
88179,86,23.0,180.34
54576,74,33.0,162.56
114711,49,27.0,170.18
5256,65,51.0,177.8
3529,77,59.0,172.72
19442,51,35.0,160.02
112372,49,31.0,162.56
15645,56,29.0,162.56
38453,63,33.0,154.94
40290,52,28.0,154.94
116943,49,28.0,157.48
9020,58,36.0,175.26
60668,58,34.0,167.64
33403,74,40.0,172.72
40398,63,32.0,160.02
27506,58,42.0,172.72
77262,63,24.0,165.1
85351,68,35.0,160.02
2075,65,33.0,170.18
113654,47,29.0,160.02
105167,54,54.0,154.94
50042,68,39.0,175.26
67180,56,63.0,165.1
59919,54,26.0,167.64
4579,63,46.0,162.56
62167,56,29.0,180.34
80704,65,34.0,170.18
84921,56,35.0,162.56
34144,50,39.0,157.48
116364,56,27.0,162.56
88209,70,36.0,172.72
39688,53,45.0,157.48
116201,72,32.0,170.18
22245,65,38.0,172.72
25372,56,36.0,160.02
71860,70,28.0,172.72
54440,68,43.0,175.26
81583,49,27.0,157.48
75533,77,25.0,162.56
13203,77,33.0,167.64
39697,56,27.0,165.1
117498,61,29.0,162.56
19220,58,31.0,167.64
36795,68,27.0,160.02
47955,56,34.0,165.1
